Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-06-17,DocPrime,Seed,50000000.0,2018,2016,Haryana,Automotive
2018-06-18,GoBumpr,Seed,600000.0,2018,2016,Mylapore,Automotive
2018-06-20,Ola,Venture - Series Unknown,50000000.0,2018,2016,Kormangala,Logistics
2018-06-20,9stacks,Series A,280000000.0,2018,2016,Delhi,Gaming
2018-06-20,Worxogo,Series A,165000000.0,2018,2016,Bangalore,Technology
2018-06-24,GoBolt,Venture - Series Unknown,400000000.0,2018,2016,Delhi,Logistics
2018-06-24,Drivezy,Seed,100000000.0,2018,2016,Bangalore,Automotive
2018-06-25,Livspace,Series C,70000000.0,2018,2016,Bangalore,E-Commerce
2018-06-25,Edyoo,Seed,1000000.0,2018,2016,Bangalore,Education
2018-06-26,Hasura,Seed,1600000.0,2018,2016,Bangalore,Technology
2018-06-26,HyperXchange,Series A,1000000.0,2018,2016,Pune,E-Commerce
2018-06-26,Rubix108 Technologies,Seed,1000000.0,2018,2016,Pune,Technology
2018-06-27,Droni Tech,Seed,35000000.0,2018,2016,Mumbai,Technology
2018-06-29,Arogya MedTech,Seed,15000000.0,2018,2016,Kolkata,Automotive
2018-06-30,Sukkhi Jewellery,Venture - Series Unknown,510000000.0,2018,2016,Mumbai,Lifestyle
2018-06-30,WalMart India,Venture - Series Unknown,37680000.0,2018,2016,Gurugram,Consumer Services
2018-07-01,Fyle,Seed,1100000.0,2018,2016,Bangalore,Logistics
2018-07-01,Flock,Seed,5800000.0,2018,2016,India,Media/Entertainment
2018-07-02,edureka!,Series A,2000000.0,2018,2016,Bangalore,Wellness/Beauty
2018-07-03,Singularity Dynamics,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-07-04,Next Digital Solutions,Angel,100000.0,2018,2016,Kota,Marketing
2018-07-05,APAC Financial Services,Seed,-2147483648.0,2018,2016,Mumbai,Finance
2018-07-06,Daaki,Angel,5800000.0,2018,2016,Bangalore,Automotive
2018-07-06,VTION,Seed,19200000.0,2018,2016,Gurugram,Media/Entertainment
2018-07-06,Med365 Healthcare,Seed,50000000.0,2018,2016,Jaipur,Healthcare
2018-07-07,artbandhu,Pre-Seed,15000.0,2018,2016,Bangalore,Media/Entertainment
2018-07-08,Silversparro Technologies Pvt. Ltd,Seed,300000.0,2018,2016,Gurugram,Technology
2018-07-08,Keito,Seed,5800000.0,2018,2016,Pune,Technology
2018-07-08,Cube,Series A,140000000.0,2018,2016,Mumbai,FinTech
2018-07-08,Finwego,Seed,5800000.0,2018,2016,Chennai,Finance
2018-07-09,arzooo.com,Seed,15000000.0,2018,2016,Bangalore,Consumer Services
2018-07-09,DronaHQ,Angel,500000.0,2018,2016,Mumbai,Technology
2018-07-10,ZiffyHomes,Seed,120000.0,2018,2016,Delhi,Logistics
2018-07-10,Manjushree Technopack,Seed,5800000.0,2018,2016,Bangalore,Consumer Services
2018-07-10,Kissht,Series C,30000000.0,2018,2016,Mumbai,FinTech
2018-07-11,Em Personal Care,Seed,5800000.0,2018,2016,Worli,Wellness/Beauty
2018-07-11,Duroflex Pvt. Ltd.,Seed,22000000.0,2018,2016,Alleppey,Consumer Services
2018-07-13,Carmel Organics,Series A,5800000.0,2018,2016,Indore,Manufacture
2018-07-14,InnerChef,Venture - Series Unknown,1760000.0,2018,2016,Gurugram,Consumables
2018-07-14,Kuvera.in,Angel,250000.0,2018,2016,Bangalore,Finance
2018-07-14,Scholify,Pre-Seed,5800000.0,2018,2016,Bangalore,Technology
2018-07-15,Detect Technologies,Series A,3300000.0,2018,2016,Chennai,Energy
2018-07-16,Gramophone,Seed,1000000.0,2018,2016,Indore,Agriculture
2018-07-18,Leena AI,Seed,2000000.0,2018,2016,Gurugram,Technology
2018-07-19,Inntot Technologies,Seed,5800000.0,2018,2016,Kochi,Consumer Services
2018-07-19,Mynvax,Angel,5800000.0,2018,2016,Bangalore,Healthcare
2018-07-19,Wellthy Therapeutics Pvt Ltd,Seed,135000000.0,2018,2016,Mumbai,Automotive
2018-07-20,Loadshare,Series A,5000000.0,2018,2016,Bangalore,Automotive
2018-07-20,Carcrew,Seed,2000000.0,2018,2016,Mumbai,Automotive
2018-07-21,Cardekho,Series C,75000000.0,2018,2016,Gurugram,Automotive
2018-07-22,LT Foods,Post-IPO Equity,1400000000.0,2018,2016,Delhi,Consumables
2018-07-22,SmartVizX,Seed,1450000.0,2018,2016,Noida,Technology
2018-07-25,Connect India,Angel,5800000.0,2018,2016,Delhi,Logistics
2018-07-25,UrbanClap,Series D,50000000.0,2018,2016,Delhi,Technology
2018-07-26,Avail Finance,Series A,17200000.0,2018,2016,Bangalore,FinTech
